0,1
1,0
0,18
18,0
0,10
10,0
0,21
21,0
0,31
31,0
1,18
18,1
1,10
10,1
2,11
11,2
2,21
21,2
2,30
30,2
2,31
31,2
3,35
35,3
3,4
4,3
3,8
8,3
3,12
12,3
3,15
15,3
3,19
19,3
3,24
24,3
3,27
27,3
4,24
24,4
4,19
19,4
4,35
35,4
4,5
5,4
6,11
11,6
6,22
22,6
6,23
23,6
7,25
25,7
7,34
34,7
7,10
10,7
7,21
21,7
7,30
30,7
8,35
35,8
8,12
12,8
8,15
15,8
8,19
19,8
8,24
24,8
9,32
32,9
9,16
16,9
9,28
28,9
10,18
18,10
10,21
21,10
10,30
30,10
10,31
31,10
11,17
17,11
11,22
22,11
11,23
23,11
12,35
35,12
12,19
19,12
12,24
24,12
12,26
26,12
12,27
27,12
14,33
33,14
14,26
26,14
14,29
29,14
15,25
25,15
15,34
34,15
15,19
19,15
16,28
28,16
17,23
23,17
19,35
35,19
19,24
24,19
19,27
27,19
21,30
30,21
21,31
31,21
22,23
23,22
24,33
33,24
24,35
35,24
24,26
26,24
24,27
27,24
24,29
29,24
25,34
34,25
26,33
33,26
26,27
27,26
26,29
29,26
27,33
33,27
27,35
35,27
27,29
29,27
29,33
33,29
30,31
31,30
